City_ID,City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kerikeri,-35.2268,173.9474,14.95,87,4,1.62,NZ,1738680492
1,ginir,7.1333,40.7,21.55,11,10,5.59,ET,1738680494
2,margaret river ,-33.95,115.0667,18.54,69,0,5.87,AU,1738680495
3,bam,29.106,58.357,11.83,22,0,3.61,IR,1738680496
4,marrakesh,31.6315,-8.0083,18.04,39,0,2.57,MA,1738680497
5,lata,40.1629,-8.3327,17.49,43,100,1.68,PT,1738680498
6,port-aux-francais,-49.35,70.2167,5.76,98,100,11.38,TF,1738680499
7,kodiak,57.79,-152.4072,-6.27,93,20,2.06,US,1738680500
8,bethanie,-26.4833,17.15,28.52,41,89,7.19,NA,1738680501
9,edinburgh of the seven seas,-37.0676,-12.3116,15.05,70,32,5.7,SH,1738680503
10,gunnedah,-30.9833,150.25,22.98,64,100,2.58,AU,1738680504
11,hawaiian paradise park,19.5933,-154.9731,18.28,67,75,3.09,US,1738680505
12,ushuaia,-54.8,-68.3,8.81,66,20,1.54,AR,1738680506
13,victorica,-36.2151,-65.4359,28.12,20,6,2.37,AR,1738680507
14,adamstown,-25.066,-130.1015,24.83,78,33,7.15,PN,1738680508
15,whitehorse,60.7161,-135.0538,-15.57,85,100,2.06,CA,1738680269
16,bethel,41.3712,-73.414,4.85,68,100,3.09,US,1738680510
17,iqaluit,63.7506,-68.5145,-27.15,69,100,2.06,CA,1738680512
18,makueni boma,-1.8041,37.6203,24.77,45,100,3.61,KE,1738680513
19,puerto colombia,10.9878,-74.9547,29.05,71,100,7.78,CO,1738680514
20,college,64.8569,-147.8028,-18.01,61,75,0.0,US,1738680515
21,luderitz,-26.6481,15.1594,23.92,59,10,9.09,NA,1738680516
22,thompson,55.7435,-97.8558,-27.91,76,0,5.66,CA,1738680517
23,lihue,21.9789,-159.3672,18.77,88,0,2.57,US,1738680407
24,kapuskasing,49.4169,-82.4331,-19.95,71,40,6.17,CA,1738680519
25,nagqu,31.5,92.0,-4.0,18,54,1.06,CN,1738680521
26,lerwick,60.1545,-1.1494,7.82,83,100,9.68,GB,1738680522
27,yellowknife,62.456,-114.3525,-18.66,93,100,4.12,CA,1738680523
28,xining,36.6167,101.7667,-9.93,70,8,1.73,CN,1738680524
29,blackmans bay,-43.0167,147.3167,13.07,76,1,3.08,AU,1738680525
30,boguchany,58.3814,97.4531,-14.79,89,76,3.55,RU,1738680526
31,remire-montjoly,4.9167,-52.2667,26.02,94,100,2.57,GF,1738680527
32,qaqortoq,60.7167,-46.0333,-17.24,65,84,3.94,GL,1738680528
33,cadale,2.7603,46.3222,25.13,80,51,9.71,SO,1738680529
34,stanley,54.868,-1.6985,8.07,78,40,8.23,GB,1738680531
35,haiku-pauwela,20.9219,-156.3051,19.0,85,13,3.13,US,1738680532
36,albany,42.6001,-73.9662,1.23,72,46,6.75,US,1738680533
37,sakakah,29.9697,40.2064,25.76,12,15,2.67,SA,1738680534
38,kongoussi,13.3258,-1.5347,34.37,10,45,4.17,BF,1738680535
39,avarua,-21.2078,-159.775,27.03,83,69,4.12,CK,1738680536
40,ryotsu-minato,38.0833,138.4333,-1.38,70,100,11.42,JP,1738680537
41,margaret river,-33.95,115.0667,18.54,69,0,5.87,AU,1738680539
42,mary,37.0,62.5,9.04,43,8,3.2,TM,1738680540
43,estevan,49.1334,-102.9842,-24.89,77,100,2.06,CA,1738680541
44,port saint john's,-31.6229,29.5448,29.99,71,10,8.0,ZA,1738680542
45,ilulissat,69.2167,-51.1,-18.99,78,75,7.2,GL,1738680543
46,papatowai,-46.5619,169.4708,9.39,92,99,2.82,NZ,1738680544
47,port lincoln,-34.7333,135.8667,18.2,76,14,8.83,AU,1738680545
48,rosales,15.8944,120.6328,22.66,71,100,3.2,PH,1738680546
49,enewetak,11.3474,162.3373,26.84,66,57,8.9,MH,1738680547
50,weno,7.4515,151.8468,28.03,75,93,7.76,FM,1738680549
51,badger,64.8,-147.5333,-18.05,76,75,0.0,US,1738680550
52,bosanska krupa,44.8825,16.1514,4.22,57,3,1.96,BA,1738680551
53,gadzhiyevo,69.2551,33.3362,-21.36,100,86,4.98,RU,1738680552
